,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,Headline,Source,Market_Event,Market_Index,Index_Change_Percent,Trading_Volume,Sentiment,Sector,Impact_Level,Related_Company,News_Url,text_clean,label_id,ESG_Label,Impact_Level_Code,ESG_Controversy,Year,Sentiment_Code
214,214,214,214,214,2025-05-09,Record-high inflation data rattles investors,Economic Times,Product Safety Recall,ASX 200,-4.27,24.61,Positive,Finance,Medium,Chevron Corporation,https://www.business-standard.com/economy/trade-disputes-impact,record high inflation data rattles investors,3,Social,1,1,2025,1.0
215,215,215,215,215,2025-02-14,Utilities sector remains stable during market fluctuations,Forbes,Human Rights Allegation,S&P 500,,151.44,Neutral,Finance,Medium,Chevron Corporation,https://www.wsj.com/europe/regulatory-changes,utilities sector remains stable during market fluctuations,8,Social,1,1,2025,0.0
216,216,216,216,216,2025-07-01,Semiconductor shortages weigh heavily on tech sector profits,Financial Times,Executive Misconduct,Shanghai Composite,1.44,121.56,Negative,Real Estate,Low,Bank of America,https://timesofindia.indiatimes.com/business/finance/banking-sector-news,semiconductor shortages weigh heavily on tech sector profits,1,Governance,0,0,2025,-1.0
217,217,217,217,217,2025-08-05,Semiconductor shortages weigh heavily on tech sector profits,The Motley Fool,Accounting Fraud Investigation,Nasdaq Composite,-0.8,197.65,Positive,Agriculture,Low,Intel,https://www.business-standard.com/economy/trade-disputes-impact,semiconductor shortages weigh heavily on tech sector profits,6,Governance,0,0,2025,1.0
218,218,218,218,218,2025-02-04,Real Estate sector shows signs of overheating as interest rates fall,The Hindu Business Line,Antitrust Investigation,FTSE 100,2.47,164.02,Negative,Energy,High,Microsoft,https://www.wsj.com/china/market-rally,real estate sector shows signs of overheating as interest rates fall,0,Governance,2,1,2025,-1.0
219,219,219,219,219,2025-02-12,UK's FTSE 100 sees a boost from favorable trade data,Wall Street Journal,Accounting Fraud Investigation,BSE Sensex,0.04,336.28,Negative,Transportation,High,Lockheed Martin,https://www.forbes.com/crypto/cryptocurrency-regulation,uk's ftse 100 sees a boost from favorable trade data,15,Governance,2,1,2025,-1.0
220,220,220,220,220,2025-05-28,Major technology firm acquires a smaller rival in a multi-billion dollar deal,Reuters,Labor Rights Violation,Nikkei 225,0.38,14.02,Negative,Construction,High,Intel,https://www.cnbc.com/2025/09/automotive-industry-trends,major technology firm acquires a smaller rival in a multi billion dollar deal,17,Social,2,1,2025,-1.0
221,221,221,221,221,2025-06-27,Banking stocks dip after a major scandal is revealed,CNBC,Human Rights Allegation,Euro Stoxx 50,-1.79,140.57,Negative,Agriculture,High,Lockheed Martin,https://www.business-standard.com/international-business/trade-policy,banking stocks dip after a major scandal is revealed,17,Social,2,1,2025,-1.0
222,222,222,222,222,2025-04-19,Semiconductor shortages weigh heavily on tech sector profits,The Economist,Product Safety Recall,FTSE 100,-1.27,92.08,Neutral,Agriculture,Medium,General Motors,https://www.wsj.com/china/market-regulation,semiconductor shortages weigh heavily on tech sector profits,19,Social,1,1,2025,0.0
223,223,223,223,223,2025-07-27,"Global trade talks collapse, causing market turmoil",Barron's,Accounting Fraud Investigation,Nikkei 225,4.65,257.47,Neutral,Aerospace & Defense,Low,Chevron Corporation,https://timesofindia.indiatimes.com/business/finance/banking-sector-news,"global trade talks collapse, causing market turmoil",7,Governance,0,0,2025,0.0
224,224,224,224,224,2025-06-03,Consumer Discretionary stocks outperform as spending increases,Mint,Antitrust Investigation,IBOVESPA,-1.6,2.91,Neutral,Energy,Medium,Apple Inc.,https://www.ft.com/content/media-entertainment-merger,consumer discretionary stocks outperform as spending increases,4,Governance,1,1,2025,0.0
225,225,225,225,225,2025-02-28,Automotive industry faces headwinds from rising material costs,Reuters,Accounting Fraud Investigation,CAC 40,-2.36,183.44,Negative,Materials,Medium,Lockheed Martin,https://www.reuters.com/business/energy/oil-market-update,automotive industry faces headwinds from rising material costs,16,Governance,1,1,2025,-1.0
226,226,226,226,226,2025-02-09,Government subsidy program gives a lift to the agriculture sector,Business Standard,Antitrust Investigation,Russell 2000,1.46,110.46,Positive,Agriculture,Medium,Ford Motor Company,https://economictimes.indiatimes.com/industry/industrials,government subsidy program gives a lift to the agriculture sector,9,Governance,1,1,2025,1.0
227,227,227,227,227,2025-03-10,Automotive industry faces headwinds from rising material costs,The Motley Fool,Carbon Emissions Violation,TSX,-4.58,487.93,Neutral,Aerospace & Defense,Medium,Apple Inc.,https://www.business-standard.com/economy/trade-disputes-impact,automotive industry faces headwinds from rising material costs,2,Environmental,1,1,2025,0.0
228,228,228,228,228,2025-06-20,Dow Jones plunges as market fears recession,Times of India,Executive Misconduct,ASX 200,2.52,201.86,Negative,Technology,Medium,Bank of America,https://timesofindia.indiatimes.com/business/markets/stock-market-crash,dow jones plunges as market fears recession,0,Governance,1,1,2025,-1.0
229,229,229,229,229,2025-05-10,Record-high inflation data rattles investors,Barron's,Accounting Fraud Investigation,S&P/TSX Composite,-3.45,290.53,Negative,Industrials,High,Chevron Corporation,https://economictimes.indiatimes.com/industry/industrials,record high inflation data rattles investors,6,Governance,2,1,2025,-1.0
230,230,230,230,230,2025-04-28,Tech Giant's New Product Launch Sparks Sector-Wide Gains,Times of India,Executive Misconduct,ASX 200,-2.87,69.18,Positive,Telecommunications,Low,Microsoft,https://www.wsj.com/europe/dax-performance,tech giant's new product launch sparks sector wide gains,11,Governance,0,0,2025,1.0
231,231,231,231,231,2025-05-05,Banking stocks dip after a major scandal is revealed,The Economist,Executive Misconduct,DAX,,377.06,Neutral,Industrials,Medium,Bank of America,,banking stocks dip after a major scandal is revealed,0,Governance,1,1,2025,0.0
232,232,232,232,232,2025-04-04,Crude oil prices drop to a multi-year low,The Motley Fool,Product Safety Recall,TSX,,155.13,Neutral,Technology,Medium,Chevron Corporation,https://www.reuters.com/business/retail-sector-earnings,crude oil prices drop to a multi year low,17,Social,1,1,2025,0.0
233,233,233,233,233,2025-02-15,Unexpected rise in unemployment fuels market pessimism,Barron's,Antitrust Investigation,Nasdaq Composite,4.45,97.61,Neutral,Media & Entertainment,Low,Bank of America,https://www.wsj.com/japan/economic-data-release,unexpected rise in unemployment fuels market pessimism,6,Governance,0,0,2025,0.0
234,234,234,234,234,2025-07-14,Energy company's dividend hike excites shareholders,Mint,Antitrust Investigation,FTSE 100,1.54,176.24,Positive,Industrials,Low,Exxon Mobil,https://www.bloomberg.com/asia/telecommunications-news,energy company's dividend hike excites shareholders,1,Governance,0,0,2025,1.0
235,235,235,235,235,2025-03-18,"Global trade talks collapse, causing market turmoil",The Hindu Business Line,Labor Rights Violation,NSE Nifty,-2.74,484.85,Positive,Real Estate,Low,Lockheed Martin,https://www.business-standard.com/economy/trade-disputes-impact,"global trade talks collapse, causing market turmoil",19,Social,0,0,2025,1.0
236,236,236,236,236,2025-06-13,Utilities sector remains stable during market fluctuations,Forbes,Regulatory Compliance Failure,Nasdaq Composite,3.05,191.82,Neutral,Agriculture,Medium,JPMorgan Chase,https://www.reuters.com/business/energy/oil-market-update,utilities sector remains stable during market fluctuations,5,Governance,1,1,2025,0.0
237,237,237,237,237,2025-04-20,China's Shanghai Composite falls after new trade restrictions,Forbes,Worker Strike,Dow Jones,-2.21,333.33,Positive,Aerospace & Defense,Low,Intel,https://www.ft.com/content/currency-devaluation,china's shanghai composite falls after new trade restrictions,3,Social,0,0,2025,1.0
238,238,238,238,238,2025-08-05,ASX 200 gains on strong export performance,Business Standard,Carbon Emissions Violation,Hang Seng,4.42,488.49,Negative,Finance,High,JPMorgan Chase,https://www.bloomberg.com/canada/tsunami-warnings,asx 200 gains on strong export performance,2,Environmental,2,1,2025,-1.0
239,239,239,239,239,2025-06-10,New housing data release shows a slowdown in market activity,Times of India,Antitrust Investigation,TSX,-2.25,265.62,Negative,Telecommunications,Medium,Lockheed Martin,https://www.bloomberg.com/australia/asx-200-performance,new housing data release shows a slowdown in market activity,7,Governance,1,1,2025,-1.0
240,240,240,240,240,2025-05-18,Central Bank Governor signals potential shift in policy,Business Standard,Regulatory Compliance Failure,Russell 2000,,185.71,Negative,Pharmaceuticals,Medium,General Motors,https://www.marketwatch.com/story/consumer-goods-report,central bank governor signals potential shift in policy,7,Governance,1,1,2025,-1.0
241,241,241,241,241,2025-05-31,Tech Giant's New Product Launch Sparks Sector-Wide Gains,CNBC,Human Rights Allegation,Nasdaq Composite,-3.65,249.29,Negative,Media & Entertainment,High,Apple Inc.,https://www.bloomberg.com/middle-east/news/bond-market-fluctuation,tech giant's new product launch sparks sector wide gains,3,Social,2,1,2025,-1.0
242,242,242,242,242,2025-02-27,ASX 200 gains on strong export performance,The Economist,Antitrust Investigation,Russell 2000,-0.42,212.24,Positive,Technology,Low,Exxon Mobil,https://timesofindia.indiatimes.com/business/agriculture-sector,asx 200 gains on strong export performance,7,Governance,0,0,2025,1.0
243,243,243,243,243,2025-05-21,Crude oil prices drop to a multi-year low,Forbes,Labor Rights Violation,Dow Jones,-0.24,480.19,Negative,Utilities,Medium,Lockheed Martin,https://www.business-standard.com/finance/corporate-earnings,crude oil prices drop to a multi year low,19,Social,1,1,2025,-1.0
244,244,244,244,244,2025-05-05,Quarterly report shows surprising losses for retail giants,Mint,Executive Misconduct,TSX,-3.46,189.55,Negative,Telecommunications,Medium,Bank of America,https://www.business-standard.com/economy/inflation-data,quarterly report shows surprising losses for retail giants,12,Governance,1,1,2025,-1.0
245,245,245,245,245,2025-04-23,Record-high inflation data rattles investors,Times of India,Worker Strike,ASX 200,-3.5,475.2,Negative,Materials,High,Chevron Corporation,https://www.marketwatch.com/story/consumer-goods-report,record high inflation data rattles investors,8,Social,2,1,2025,-1.0
246,246,246,246,246,2025-02-14,Major oil spill sends energy stocks plummeting,Business Standard,Antitrust Investigation,S&P 500,4.55,277.24,Negative,Telecommunications,High,Microsoft,https://www.ft.com/content/geopolitical-summit,major oil spill sends energy stocks plummeting,0,Governance,2,1,2025,-1.0
247,247,247,247,247,2025-05-30,Utilities sector remains stable during market fluctuations,Reuters,Regulatory Compliance Failure,Shanghai Composite,-0.07,29.33,Negative,Healthcare,High,Microsoft,https://www.business-standard.com/economy/trade-disputes-impact,utilities sector remains stable during market fluctuations,1,Governance,2,1,2025,-1.0
248,248,248,248,248,2025-03-29,New housing data release shows a slowdown in market activity,Reuters,Regulatory Compliance Failure,Hang Seng,-1.53,246.25,Neutral,Materials,Low,Microsoft,https://www.moneycontrol.com/us-markets/dow-jones-industrial,new housing data release shows a slowdown in market activity,13,Governance,0,0,2025,0.0
249,249,249,249,249,2025-02-03,,The Hindu Business Line,Antitrust Investigation,Russell 2000,-4.17,204.48,Negative,Construction,High,JPMorgan Chase,https://www.cnbc.com/2025/12/healthcare-sector-outlook,,6,Governance,2,1,2025,-1.0
250,250,250,250,250,2025-04-28,Banking stocks dip after a major scandal is revealed,Yahoo Finance,Executive Misconduct,S&P 500,4.3,480.14,Neutral,Construction,Medium,Lockheed Martin,https://www.forbes.com/finance/geopolitical-event-impact,banking stocks dip after a major scandal is revealed,7,Governance,1,1,2025,0.0
251,251,251,251,251,2025-05-30,Banking stocks dip after a major scandal is revealed,CNBC,Worker Strike,Euro Stoxx 50,-1.46,129.22,Negative,Automotive,Medium,General Motors,https://www.reuters.com/markets/indices/nikkei-225,banking stocks dip after a major scandal is revealed,8,Social,1,1,2025,-1.0
252,252,252,252,252,2025-02-20,,Financial Times,Regulatory Compliance Failure,Euro Stoxx 50,0.07,42.85,Negative,Automotive,High,General Motors,https://timesofindia.indiatimes.com/business/agriculture-sector,,12,Governance,2,1,2025,-1.0
253,253,253,253,253,2025-06-23,Central Bank Governor signals potential shift in policy,Reuters,Antitrust Investigation,Nikkei 225,-3.78,339.53,Positive,Real Estate,Medium,Exxon Mobil,,central bank governor signals potential shift in policy,6,Governance,1,1,2025,1.0
254,254,254,254,254,2025-07-05,New IPO for a popular software firm is oversubscribed,Forbes,Worker Strike,Nasdaq Composite,-3.76,76.61,Negative,Construction,Medium,Exxon Mobil,https://www.marketwatch.com/story/commodities-price-shock,new ipo for a popular software firm is oversubscribed,3,Social,1,1,2025,-1.0
255,255,255,255,255,2025-07-27,Market sentiment turns positive on vaccine trial results,The Motley Fool,Accounting Fraud Investigation,S&P/TSX Composite,1.91,73.24,Negative,Agriculture,High,Microsoft,https://www.forbes.com/finance/geopolitical-event-impact,market sentiment turns positive on vaccine trial results,7,Governance,2,1,2025,-1.0
256,256,256,256,256,2025-04-03,China's Shanghai Composite falls after new trade restrictions,MarketWatch,Antitrust Investigation,BSE Sensex,-4.14,448.04,Negative,Aerospace & Defense,High,JPMorgan Chase,https://www.reuters.com/markets/indices/nikkei-225,china's shanghai composite falls after new trade restrictions,14,Governance,2,1,2025,-1.0
257,257,257,257,257,2025-06-24,Media and Entertainment companies report a surge in streaming revenue,Mint,Climate Regulation Breach,DAX,-1.68,426.05,Neutral,Construction,Low,Exxon Mobil,https://www.wsj.com/china/market-regulation,media and entertainment companies report a surge in streaming revenue,2,Environmental,0,0,2025,0.0
258,258,258,258,258,2025-08-07,Automotive industry faces headwinds from rising material costs,Reuters,Executive Misconduct,TSX,-2.57,131.5,Positive,Transportation,Medium,Apple Inc.,https://economictimes.indiatimes.com/stocks/bse-sensex-plunges,automotive industry faces headwinds from rising material costs,16,Governance,1,1,2025,1.0
259,259,259,259,259,2025-06-16,Aerospace and Defense sector sees rally amid geopolitical tensions,Times of India,Accounting Fraud Investigation,FTSE 100,-0.04,64.69,,Automotive,Medium,Apple Inc.,https://www.wsj.com/europe/dax-performance,aerospace and defense sector sees rally amid geopolitical tensions,4,Governance,1,1,2025,
260,260,260,260,260,2025-08-08,Energy company's dividend hike excites shareholders,Barron's,Regulatory Compliance Failure,FTSE 100,-1.09,104.53,Positive,Industrials,Medium,Apple Inc.,https://www.reuters.com/markets/indices/ftse-100,energy company's dividend hike excites shareholders,5,Governance,1,1,2025,1.0
261,261,261,261,261,2025-07-01,Media and Entertainment companies report a surge in streaming revenue,The Economist,Accounting Fraud Investigation,S&P 500,2.69,425.48,Negative,Aerospace & Defense,High,Lockheed Martin,https://www.bloomberg.com/asia/telecommunications-news,media and entertainment companies report a surge in streaming revenue,10,Governance,2,1,2025,-1.0
262,262,262,262,262,2025-02-03,Real Estate sector shows signs of overheating as interest rates fall,Reuters,Labor Rights Violation,Nasdaq Composite,-3.74,331.77,Negative,Transportation,Medium,JPMorgan Chase,https://www.business-standard.com/finance/corporate-earnings,real estate sector shows signs of overheating as interest rates fall,17,Social,1,1,2025,-1.0
263,263,263,263,263,2025-04-05,Dow Jones plunges as market fears recession,Forbes,Antitrust Investigation,S&P/TSX Composite,,366.97,Neutral,Industrials,Low,Bank of America,https://www.wsj.com/europe/dax-performance,dow jones plunges as market fears recession,5,Governance,0,0,2025,0.0
264,264,264,264,264,2025-06-30,Gold prices surge as investors flee riskier assets,The Hindu Business Line,Executive Misconduct,S&P 500,0.22,143.08,Neutral,Technology,Low,General Motors,https://www.forbes.com/crypto/cryptocurrency-regulation,gold prices surge as investors flee riskier assets,6,Governance,0,0,2025,0.0
265,265,265,265,265,2025-06-12,Healthcare stocks gain on robust demand and strong outlook,Business Standard,Worker Strike,S&P/TSX Composite,-2.89,390.18,Negative,Automotive,High,Intel,https://www.bloomberg.com/australia/asx-200-performance,healthcare stocks gain on robust demand and strong outlook,17,Social,2,1,2025,-1.0
266,266,266,266,266,2025-03-29,Pharmaceutical company's drug approval drives stock upward,MarketWatch,Water Pollution Incident,FTSE 100,-2.06,144.82,Neutral,Pharmaceuticals,Medium,Ford Motor Company,,pharmaceutical company's drug approval drives stock upward,2,Environmental,1,1,2025,0.0
267,267,267,267,267,2025-05-18,Government subsidy program gives a lift to the agriculture sector,Mint,Regulatory Compliance Failure,S&P/TSX Composite,,395.33,Neutral,Retail,Low,Chevron Corporation,https://www.moneycontrol.com/us-markets/dow-jones-industrial,government subsidy program gives a lift to the agriculture sector,14,Governance,0,0,2025,0.0
268,268,268,268,268,2025-07-08,,Forbes,Labor Rights Violation,ASX 200,-2.24,145.64,Neutral,Energy,Medium,Exxon Mobil,https://www.business-standard.com/economy/inflation-data,,8,Social,1,1,2025,0.0
269,269,269,269,269,2025-08-02,Financial sector bracing for new capital requirements,Barron's,Accounting Fraud Investigation,TSX,3.1,431.51,Positive,Telecommunications,Medium,Intel,https://www.bloomberg.com/asia/policy/central-bank-meeting,financial sector bracing for new capital requirements,7,Governance,1,1,2025,1.0
270,270,270,270,270,2025-02-23,Real Estate sector shows signs of overheating as interest rates fall,Investopedia,Executive Misconduct,Hang Seng,-4.8,419.9,Negative,Construction,Medium,Intel,https://www.business-standard.com/international-business/trade-policy,real estate sector shows signs of overheating as interest rates fall,11,Governance,1,1,2025,-1.0
271,271,271,271,271,2025-04-16,Real Estate sector shows signs of overheating as interest rates fall,Business Standard,Labor Rights Violation,NSE Nifty,-2.12,184.96,Positive,Retail,Low,Chevron Corporation,https://www.cnbc.com/2025/10/real-estate-market-analysis,real estate sector shows signs of overheating as interest rates fall,3,Social,0,0,2025,1.0
272,272,272,272,272,2025-03-20,Government spending bill is expected to stimulate the economy,Business Standard,Regulatory Compliance Failure,Nikkei 225,0.12,420.46,Negative,Retail,Medium,Lockheed Martin,https://www.forbes.com/crypto/cryptocurrency-regulation,government spending bill is expected to stimulate the economy,0,Governance,1,1,2025,-1.0
273,273,273,273,273,2025-02-12,Utilities sector remains stable during market fluctuations,Bloomberg,Executive Misconduct,TSX,-0.51,147.28,Negative,Media & Entertainment,High,Microsoft,https://www.reuters.com/markets/indices/nikkei-225,utilities sector remains stable during market fluctuations,6,Governance,2,1,2025,-1.0
274,274,274,274,274,2025-06-30,Retail sales report surpasses all forecasts,Financial Times,Antitrust Investigation,Nikkei 225,-3.76,270.71,Negative,Real Estate,High,Intel,https://www.cnbc.com/2025/09/automotive-industry-trends,retail sales report surpasses all forecasts,7,Governance,2,1,2025,-1.0
275,275,275,275,275,2025-06-05,Geopolitical ceasefire prompts a broad market recovery,Barron's,Labor Rights Violation,Euro Stoxx 50,-3.74,111.7,Positive,Technology,Low,Exxon Mobil,,geopolitical ceasefire prompts a broad market recovery,8,Social,0,0,2025,1.0
276,276,276,276,276,2025-03-29,Crude oil prices drop to a multi-year low,Financial Times,Executive Misconduct,KOSPI,1.43,117.34,Negative,Energy,Low,Exxon Mobil,https://www.forbes.com/finance/geopolitical-event-impact,crude oil prices drop to a multi year low,16,Governance,0,0,2025,-1.0
277,277,277,277,277,2025-03-13,Merger talks between two banks fall through,The Hindu Business Line,Accounting Fraud Investigation,TSX,-4.51,326.15,Neutral,Utilities,Low,Lockheed Martin,https://www.reuters.com/markets/stocks/tech-rally,merger talks between two banks fall through,16,Governance,0,0,2025,0.0
278,278,278,278,278,2025-06-22,"Global trade talks collapse, causing market turmoil",Bloomberg,Product Safety Recall,Nikkei 225,2.59,454.77,Negative,Media & Entertainment,High,Intel,https://timesofindia.indiatimes.com/business/markets/stock-market-crash,"global trade talks collapse, causing market turmoil",17,Social,2,1,2025,-1.0
279,279,279,279,279,2025-08-10,China's Shanghai Composite falls after new trade restrictions,Wall Street Journal,Accounting Fraud Investigation,Nikkei 225,1.72,111.19,Negative,Healthcare,Medium,Exxon Mobil,https://www.cnbc.com/2025/12/healthcare-sector-outlook,china's shanghai composite falls after new trade restrictions,0,Governance,1,1,2025,-1.0
280,280,280,280,280,2025-07-28,Financial services stocks rally on strong profit margins,MarketWatch,Accounting Fraud Investigation,S&P/TSX Composite,-2.44,13.82,Neutral,Materials,Medium,General Motors,https://www.wsj.com/europe/regulatory-changes,financial services stocks rally on strong profit margins,13,Governance,1,1,2025,0.0
281,281,281,281,281,2025-08-02,Media and Entertainment companies report a surge in streaming revenue,Yahoo Finance,Antitrust Investigation,IBOVESPA,-1.94,359.56,Negative,Finance,Medium,Exxon Mobil,https://www.bloomberg.com/middle-east/news/bond-market-fluctuation,media and entertainment companies report a surge in streaming revenue,14,Governance,1,1,2025,-1.0
282,282,282,282,282,2025-07-29,Financial services stocks rally on strong profit margins,Reuters,Antitrust Investigation,Nikkei 225,0.94,446.1,Negative,Transportation,Low,General Motors,https://www.reuters.com/markets/stocks/tech-rally,financial services stocks rally on strong profit margins,4,Governance,0,0,2025,-1.0
283,283,283,283,283,2025-08-04,Retail sales report surpasses all forecasts,Barron's,Product Safety Recall,Nasdaq Composite,0.76,184.66,Neutral,Agriculture,Low,Bank of America,https://www.reuters.com/business/energy/oil-market-update,retail sales report surpasses all forecasts,19,Social,0,0,2025,0.0
284,284,284,284,284,2025-03-05,Government policy shift boosts renewable energy sector,Barron's,Environmental Spill,Hang Seng,,180.27,Positive,Finance,Low,Lockheed Martin,https://www.ft.com/content/media-entertainment-merger,government policy shift boosts renewable energy sector,2,Environmental,0,0,2025,1.0
285,285,285,285,285,2025-04-07,Consumer confidence index reaches a decade high,Mint,Accounting Fraud Investigation,Nasdaq Composite,-2.1,424.6,Positive,Retail,Low,Exxon Mobil,https://www.ft.com/content/consumer-confidence-report,consumer confidence index reaches a decade high,1,Governance,0,0,2025,1.0
286,286,286,286,286,2025-04-16,Media and Entertainment companies report a surge in streaming revenue,Times of India,Regulatory Compliance Failure,Euro Stoxx 50,-4.65,35.54,Positive,Retail,Low,Apple Inc.,https://www.moneycontrol.com/us-markets/nasdaq-composite,media and entertainment companies report a surge in streaming revenue,9,Governance,0,0,2025,1.0
287,287,287,287,287,2025-05-27,China's Shanghai Composite falls after new trade restrictions,Economic Times,Regulatory Compliance Failure,Euro Stoxx 50,-1.88,319.7,Neutral,Automotive,Low,Exxon Mobil,https://economictimes.indiatimes.com/news/transportation,china's shanghai composite falls after new trade restrictions,16,Governance,0,0,2025,0.0
288,288,288,288,288,2025-04-14,Massive stock buyback program announced by a consumer goods company,Reuters,Accounting Fraud Investigation,KOSPI,2.13,169.48,Neutral,Energy,Low,Apple Inc.,https://www.theeconomist.com/world/government-policy-announcement,massive stock buyback program announced by a consumer goods company,5,Governance,0,0,2025,0.0
289,289,289,289,289,2025-03-08,Government policy shift boosts renewable energy sector,MarketWatch,Antitrust Investigation,ASX 200,2.67,134.04,,Aerospace & Defense,Low,Exxon Mobil,https://timesofindia.indiatimes.com/business/corporate-governance,government policy shift boosts renewable energy sector,13,Governance,0,0,2025,
290,290,290,290,290,2025-07-18,Financial services stocks rally on strong profit margins,Seeking Alpha,Water Pollution Incident,Hang Seng,1.73,291.34,Neutral,Technology,Medium,Apple Inc.,https://timesofindia.indiatimes.com/business/markets/stock-market-crash,financial services stocks rally on strong profit margins,2,Environmental,1,1,2025,0.0
291,291,291,291,291,2025-07-15,Unexpected rise in unemployment fuels market pessimism,Yahoo Finance,Executive Misconduct,IBOVESPA,1.3,436.99,Positive,Telecommunications,Medium,Bank of America,https://www.wsj.com/europe/dax-performance,unexpected rise in unemployment fuels market pessimism,14,Governance,1,1,2025,1.0
292,292,292,292,292,2025-02-12,Pharmaceutical company's drug approval drives stock upward,Reuters,Environmental Spill,Euro Stoxx 50,-4.82,452.55,Negative,Finance,High,Microsoft,,pharmaceutical company's drug approval drives stock upward,2,Environmental,2,1,2025,-1.0
293,293,293,293,293,2025-05-21,Nikkei 225 index benefits from a weaker yen,Mint,Antitrust Investigation,Euro Stoxx 50,-3.33,92.82,Negative,Industrials,High,Exxon Mobil,https://www.cnbc.com/2025/09/automotive-industry-trends,nikkei 225 index benefits from a weaker yen,9,Governance,2,1,2025,-1.0
294,294,294,294,294,2025-03-27,New housing data release shows a slowdown in market activity,Yahoo Finance,Labor Rights Violation,KOSPI,-3.83,352.65,Negative,Pharmaceuticals,Medium,Intel,https://www.moneycontrol.com/india/ipo-news/new-firm-launches,new housing data release shows a slowdown in market activity,3,Social,1,1,2025,-1.0
295,295,295,295,295,2025-04-04,Gold prices surge as investors flee riskier assets,Yahoo Finance,Regulatory Compliance Failure,S&P 500,-4.03,465.53,Negative,Healthcare,Medium,Intel,https://www.theeconomist.com/finance-and-economics/trade-tariffs,gold prices surge as investors flee riskier assets,5,Governance,1,1,2025,-1.0
296,296,296,296,296,2025-04-26,Merger talks between two banks fall through,Reuters,Executive Misconduct,NSE Nifty,-1.29,303.78,Negative,Transportation,Low,Exxon Mobil,https://economictimes.indiatimes.com/stocks/bse-sensex-plunges,merger talks between two banks fall through,1,Governance,0,0,2025,-1.0
297,297,297,297,297,2025-08-04,Government subsidy program gives a lift to the agriculture sector,Financial Times,Antitrust Investigation,DAX,-2.25,345.01,Negative,Agriculture,Medium,Apple Inc.,https://www.wsj.com/china/market-rally,government subsidy program gives a lift to the agriculture sector,13,Governance,1,1,2025,-1.0
298,298,298,298,298,2025-07-23,Utilities sector remains stable during market fluctuations,CNBC,Executive Misconduct,Nikkei 225,-1.4,112.99,Positive,Industrials,Medium,Chevron Corporation,https://timesofindia.indiatimes.com/business/finance/banking-sector-news,utilities sector remains stable during market fluctuations,12,Governance,1,1,2025,1.0
299,299,299,299,299,2025-03-01,Central bank maintains status quo on interest rates,The Economist,Accounting Fraud Investigation,IBOVESPA,-1.78,250.79,Positive,Healthcare,Low,Chevron Corporation,https://www.reuters.com/markets/indices/nikkei-225,central bank maintains status quo on interest rates,0,Governance,0,0,2025,1.0
300,300,300,300,300,2025-06-28,"Global trade talks collapse, causing market turmoil",Investopedia,Regulatory Compliance Failure,DAX,0.16,471.76,Negative,Energy,High,Microsoft,https://www.marketwatch.com/story/commodities-price-shock,"global trade talks collapse, causing market turmoil",16,Governance,2,1,2025,-1.0
301,301,301,301,301,2025-04-02,Nikkei 225 index benefits from a weaker yen,Investopedia,Accounting Fraud Investigation,ASX 200,-3.13,354.58,Negative,Aerospace & Defense,High,General Motors,https://timesofindia.indiatimes.com/business/corporate-governance,nikkei 225 index benefits from a weaker yen,0,Governance,2,1,2025,-1.0
302,302,302,302,302,2025-05-19,Market sentiment turns positive on vaccine trial results,Investopedia,Antitrust Investigation,Hang Seng,-4.99,170.3,Negative,Retail,Low,Lockheed Martin,https://economictimes.indiatimes.com/industry/industrials,market sentiment turns positive on vaccine trial results,6,Governance,0,0,2025,-1.0
303,303,303,303,303,2025-06-17,New IPO for a popular software firm is oversubscribed,Bloomberg,Worker Strike,S&P 500,2.26,25.6,Negative,Media & Entertainment,Low,Microsoft,,new ipo for a popular software firm is oversubscribed,19,Social,0,0,2025,-1.0
304,304,304,304,304,2025-06-29,UK's FTSE 100 sees a boost from favorable trade data,The Motley Fool,Regulatory Compliance Failure,IBOVESPA,2.23,286.78,Positive,Agriculture,Low,General Motors,https://www.bloomberg.com/middle-east/news/bond-market-fluctuation,uk's ftse 100 sees a boost from favorable trade data,13,Governance,0,0,2025,1.0
305,305,305,305,305,2025-07-30,Geopolitical ceasefire prompts a broad market recovery,Financial Times,Antitrust Investigation,Dow Jones,1.69,447.46,Neutral,Transportation,Medium,Bank of America,https://economictimes.indiatimes.com/news/economy/unemployment-rate,geopolitical ceasefire prompts a broad market recovery,1,Governance,1,1,2025,0.0
306,306,306,306,306,2025-05-11,Bond yields tumble as investors seek safe havens,Financial Times,Executive Misconduct,Russell 2000,-1.27,460.59,Negative,Media & Entertainment,Low,General Motors,https://www.reuters.com/markets/indices/ftse-100,bond yields tumble as investors seek safe havens,0,Governance,0,0,2025,-1.0
307,307,307,307,307,2025-07-24,Government policy shift boosts renewable energy sector,Mint,Accounting Fraud Investigation,Nikkei 225,1.08,402.26,Positive,Transportation,Low,Bank of America,https://www.reuters.com/business/energy/oil-market-update,government policy shift boosts renewable energy sector,15,Governance,0,0,2025,1.0
308,308,308,308,308,2025-02-18,Semiconductor shortages weigh heavily on tech sector profits,Economic Times,Regulatory Compliance Failure,Euro Stoxx 50,4.49,140.87,Negative,Agriculture,High,Ford Motor Company,https://www.marketwatch.com/story/commodities-price-shock,semiconductor shortages weigh heavily on tech sector profits,14,Governance,2,1,2025,-1.0
